بِنْت,girl/daughter (informal),Unit_01 Unit_03
لَبِسَ/يَلبَس,to wear/to put on,Unit_16
شَرِب/يَشْرَب,to drink,Unit_16
أَكَل/يَأْكُل,to eat,Unit_16
طَبَخ/يَطْبُخ,to cook,Unit_16
صَحا/يَصْحو,to wake up,Unit_16
نام/يَنام,to sleep,Unit_16
لَعِب/يَلْعَب,to play,Unit_16
وَجْه,face,Unit_16
وجُوه,faces,Unit_16
دَرْس,lesson/class,Unit_16
دُرُوس,lessons/classes,Unit_16
غُرفة الجُلوس,sitting room,Unit_16
النادي,the club,Unit_16
كُرة الريشة,badminton ('feather ball'),Unit_16
خارِج,outside (of),Unit_16 Unit_18
العالَم,the world,Unit_17
قَارّة,continent,Unit_17
قَارَّات,continents,Unit_17
أَفريقيا,Africa,Unit_17
آسيا,Asia,Unit_17
بُرْج,tower,Unit_17
أَبْراج,towers,Unit_17
حَقْل,field,Unit_17
حُقول,fields,Unit_17
بِناء,building/structure,Unit_17
صَحْراء,desert,Unit_17
سَريع,fast,Unit_17
حِلْو,sweet,Unit_17
غَنيّ,rich,Unit_17
فَقير,poor,Unit_17
هَامّ,important,Unit_17
رَخيص,inexpensive/cheap,Unit_17
غالٍ,expensive (m),Unit_17
غالية,expensive (f),Unit_17
كَثير,many/a lot,Unit_17
أَكْثَر,more/most,Unit_17
اِسْتِئْجار السيّارات,car rental,Unit_17
مُمَثِّل,actor,Unit_17
مُمَثِّلون,actors,Unit_17
مُمَثِّلة,actress,Unit_17
مُمَثِّلات,actresses,Unit_17
جَدّ,grandfather,Unit_17
جَدّة,grandmother,Unit_17
أُسْبُوع,week,Unit_17
‏(يَوْم) السَّبْت,Saturday,Unit_17
‏(يَوْم) الأحَد,Sunday,Unit_17
‏(يَوْم) الاِثْنَيْن,Monday,Unit_17
‏(يَوْم) الثُلاثَاء,Tuesday,Unit_17
‏(يَوم) ألاَربِعَاء,Wednesday,Unit_17
‏(يَوْم) الخَميس,Thursday,Unit_17
‏(يَوْم) الجُمعَة,Friday,Unit_17
بَعْدَ,after,Unit_17
قَبْلَ,before,Unit_17
الماضي,the past,Unit_17
مُنْذُ,since/ago,Unit_17
سَنَة,year,Unit_17
سَنوات,years,Unit_17
مُنْذُ عشرين سنة,‎20 years ago,Unit_17
الْيَوْم,today,Unit_17
آلان,now,Unit_17
كان/يَكون,to be,Unit_17
طار/يَطير,to fly,Unit_17
باع/يَبيع,to sell,Unit_17
قال/يَقول,to say,Unit_17
زار/يَزور,to visit,Unit_17
عاد/يََعود,to go back/return,Unit_17
زاد/يَزيد,"to increase/go up (in price, etc.)",Unit_17
مَشى/يَمشي,to walk,Unit_17
رَمى/يَرمي,to throw,Unit_17
جَرى/يَجري,to run,Unit_17
شَكا/يَشكو,to complain,Unit_17
التَعْليم,education,Unit_18
الرِّياضَة,sport,Unit_18
التَّاريخ,history,Unit_18
التَرِبية الدينيَّة,religious education,Unit_18
الجُغرافيا,geography,Unit_18
الكيمياء,chemistry,Unit_18
الموسيقى,music,Unit_18
الرَسْم,drawing/art,Unit_18
العَرَبيّة,Arabic (language),Unit_18
الاِنجليزية,English (language),Unit_18
الرياضيَّات,mathematics,Unit_18
مُحاضَرة,lecture,Unit_18
مُحاضَرات,lectures,Unit_18
كُلِّيّة,faculty/college,Unit_18
كُلِّيّات,faculties/colleges,Unit_18
مَكتَبة,library/bookshop,Unit_18
مَكتَبات,libraries/bookshops,Unit_18
أُستاذ,professor/lecturer,Unit_18
أَساتِذة,professors/lecturers,Unit_18
العُلوم,science,Unit_18
اللُّغات,languages,Unit_18
الطِّبّ,medicine,Unit_18
الهَندَسة,engineering,Unit_18
الحُقوق,law (academic study),Unit_18
وَزير,minister,Unit_18
وُزَرَاء,ministers,Unit_18
وِزارة,ministry,Unit_18
وِزارات,ministries,Unit_18
أَمير,"emir, prince",Unit_18
أُمَراء,"emirs, princes",Unit_18
إِمارَة,emirate,Unit_18
إمارات,emirates,Unit_18
سَفير,ambassador,Unit_18
سُفَرَاء,ambassadors,Unit_18
سِفَارة,embassy,Unit_18
سِفَارات,embassies,Unit_18
رَئيس,president/chairman,Unit_18
رُؤَسَاء,presidents/chairmen,Unit_18
رِئاسَة,presidency/chair,Unit_18
رِئاسات,presidencies/chairs,Unit_18
زَعيم,leader,Unit_18
زُعَماء,leaders,Unit_18
زَعامة,leadership,Unit_18
زَعامات,leadership (plural),Unit_18
وَكيل,agent,Unit_18
وُكَلاء,agents,Unit_18
وَكالة,agency,Unit_18
وَكالات,agencies,Unit_18
زَميل,colleague/associate,Unit_18
زُمَلاء,colleagues/associates,Unit_18
زَمالة,colleagueship,Unit_18
زَمالات,colleagueships,Unit_18
مُدير,manager,Unit_18
مُدَراء,managers,Unit_18
رَئيس الوُزَراء,the prime minister,Unit_18
مَجْلِس الوُزَراء,the Cabinet (council of ministers),Unit_18
إلامارات العربيّة المتّحدة,the United Arab Emirates (UAE),Unit_18
إلاِعْلان,advertising,Unit_18
شَرِكة,company (business),Unit_18
شَرِكات,companies (businesses),Unit_18
اِجْتِمَاع,meeting,Unit_18
اِجْتِمَاعات,meetings,Unit_18
مؤتَمَر,conference,Unit_18
مؤتَمَرات,conferences,Unit_18
الصِناعة,industry,Unit_18
الصِحَّة,health,Unit_18
خاصّ,private,Unit_18
مُختَلِف,different,Unit_18
حَياة,life,Unit_18
بِداية,beginning,Unit_18
الشَّعْب,the people,Unit_18
عامِل,worker,Unit_18
عُمّال,workers,Unit_18
بَدَأ/يَبْدَأ,to begin,Unit_18
عَرَف/يَعْرِف,to know,Unit_18
رَكِب/يَرْكَب,to ride (on),Unit_18
بَلْ,"but rather, instead",Unit_18
شَهْر,month,Unit_19
أَشْهُر/شُهور,months,Unit_19
ينَايِر,January,Unit_19
فِبرايِر,February,Unit_19
مَارِس,March,Unit_19
أَبريل,April,Unit_19
مايُو,May,Unit_19
يونيو,June,Unit_19
يُوليو,July,Unit_19
أَغُسْطُس,August,Unit_19
سِبتَمبِر,September,Unit_19
أُكتُوبَر,October,Unit_19
نوفَمبِر,November,Unit_19
ديسَمْبِر,December,Unit_19
المُسْتَقْبَل,the future,Unit_19
غَداً,tomorrow,Unit_19
بَعْدَ غَد,the day after tomorrow,Unit_19
أَوَّل أَمْس,the day before yesterday,Unit_19
عيد ميلاد,birthday,Unit_19
زِيارة,visit (noun),Unit_19
زِيارات,visits (noun),Unit_19
نائِب,deputy,Unit_19
نُوّاب,deputies,Unit_19
الاِقْتِصاد,the economy,Unit_19
عُطْلة,holiday,Unit_19
عُطَل,holidays,Unit_19
دِراسة,study (noun),Unit_19
دِراسات,studies (noun),Unit_19
اِمْتِحان,exam,Unit_19
اِمْتِحانات,exams,Unit_19
خِطّة,plan,Unit_19
خِطَط,plans,Unit_19
حَضَر/يَحْضُر,to attend,Unit_19
أَمَل/يَأْمَل,to hope,Unit_19
سَأَل/يَسْأَل,to ask,Unit_19
فَضَّل/يُفَضِّل,to prefer,Unit_19
سَخَّن/يُسَخِّن,to heat,Unit_19
صَلَّح/يُصَلِّح,to mend/to fix,Unit_19
نَظَّف/يُنَظِّف,to clean,Unit_19
دَرَّس/يُدَرِّس,to teach,Unit_19
سافَر/يُسافِر,to travel,Unit_19
قابَل/يُقابِل,to meet,Unit_19
حاوَل/يُحاوِل,to try/to attempt,Unit_19
اِسْتَقْبَل/يَسْتَقْبِل,"to receive (guests, etc.)",Unit_19
اِستَخَدَم/يَسْتَخْدِم,to use,Unit_19
اِسْتَعْلَم/يَسْتَعْلِم,to enquire,Unit_19
مَشْغول,busy,Unit_19
رَسْميّ,official,Unit_19
الريف,the countryside,Unit_19
في الحَقيقة,actually/in truth,Unit_19
